week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2025-03-24/2025-03-30,2025-03-24,2025-03-30,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-03-31/2025-04-06,2025-03-31,2025-04-06,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-07/2025-04-13,2025-04-07,2025-04-13,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-14/2025-04-20,2025-04-14,2025-04-20,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-21/2025-04-27,2025-04-21,2025-04-27,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-04-28/2025-05-04,2025-04-28,2025-05-04,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-05-05/2025-05-11,2025-05-05,2025-05-11,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-05-12/2025-05-18,2025-05-12,2025-05-18,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-05-19/2025-05-25,2025-05-19,2025-05-25,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-05-26/2025-06-01,2025-05-26,2025-06-01,101058.82125282945,100946.06978463032,-0.0011157013984662845,-0.11157013984662845,0,0.0,0.02063538716735866,0.0029413708225971232,0.2941370822597123
2025-06-02/2025-06-08,2025-06-02,2025-06-08,101260.94948433735,101403.30981680375,0.0014058759392574505,0.14058759392574505,0,0.0,0.02124546090318234,0.0015620013611592563,0.15620013611592562
2025-06-09/2025-06-15,2025-06-09,2025-06-15,101507.6300682686,101569.50778127382,0.0006095868159230466,0.060958681592304664,0,0.0,0.02836424103790608,0.0028086734160394206,0.28086734160394206
2025-06-16/2025-06-22,2025-06-16,2025-06-22,101500.92709279725,101437.0392316141,-0.0006294313068170299,-0.06294313068170299,0,0.0,0.015675508718280055,0.0022873089825034836,0.22873089825034837
2025-06-23/2025-06-29,2025-06-23,2025-06-29,101763.44880803011,102592.9157033989,0.008150931450186194,0.8150931450186194,2,-144.77015698181484,0.029925138465365597,7.196558501602104e-05,0.007196558501602104
2025-06-30/2025-07-06,2025-06-30,2025-06-30,102190.09548245164,102190.09548245164,0.0,0.0,0,0.0,0.0,0.0,0.0
